Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-November-2024,1014.95,1014.95,956.20,963.80,980.763237370686781719,495019,18992,485496437.00,141961,28.68,58.75,-51.15
6-November-2024,1019.75,1090.65,1009.75,1075.30,1054.223068007096392667,211375,9063,222836401.00,47886,22.65,80.90,55.55
5-November-2024,964.85,1024.65,957.00,1014.65,980.858581672659312978,984540,8290,965694508.00,873617,88.73,67.65,49.80
4-November-2024,983.95,983.95,961.65,965.40,968.597443776150627615,30592,1489,29631333.00,6249,20.43,22.30,-18.55
1-November-2024,989.95,989.95,970.15,976.55,982.416671294496584661,18007,1276,17690377.00,7251,40.27,19.80,-13.40
31-October-2024,945.85,979.85,945.85,975.70,968.442019326891036321,138046,5269,133689547.00,52845,38.28,34.00,29.85
30-October-2024,930.65,963.45,918.00,946.15,947.711112287387959630,56676,2380,53712475.00,14142,24.95,45.45,15.50
29-October-2024,949.00,949.15,917.55,930.45,928.312311072201390838,60539,3107,56199099.00,12315,20.34,31.60,-18.55
28-October-2024,920.20,961.75,891.10,938.25,931.938795676172034854,200378,8219,186740032.00,45342,22.63,70.65,18.05
25-October-2024,975.00,976.15,913.10,920.15,934.324342361381458205,71924,4185,67200344.00,32357,44.99,63.05,-54.85
24-October-2024,981.90,988.40,968.75,975.70,976.845948835928260129,123446,4354,120587725.00,29531,23.92,19.65,-6.20
23-October-2024,1009.95,1009.95,965.75,981.90,979.304855130158550533,247429,11226,242308421.00,70873,28.64,44.20,-28.05
22-October-2024,1011.05,1043.60,988.00,1012.55,1013.252997670782680833,156705,6787,158781811.00,27672,17.66,55.60,1.50
21-October-2024,1042.05,1048.20,1007.55,1017.45,1024.574532890301454300,83064,4064,85105259.00,24667,29.70,40.65,-24.60
18-October-2024,1020.55,1048.30,1005.00,1044.80,1031.756494815668202764,69440,2930,71645171.00,28214,40.63,43.30,24.25
17-October-2024,1031.95,1036.25,1013.20,1020.60,1025.074701195219123505,102408,4052,104975850.00,45245,44.18,23.05,-11.35
16-October-2024,1009.00,1038.30,1004.25,1033.15,1026.809429170807110522,108684,4613,111597756.00,44757,41.18,34.05,24.15
15-October-2024,982.40,1010.00,974.50,1004.15,991.389511233493960823,47937,2737,47524239.00,21936,45.76,35.50,21.75
14-October-2024,993.40,1014.95,977.20,980.75,990.021633382853687075,152126,5798,150608031.00,59732,39.26,37.75,-12.65
11-October-2024,997.00,999.00,975.00,977.00,983.501309053507562121,85558,4818,84146405.00,27703,32.38,24.00,-20.00
10-October-2024,992.05,1000.35,964.00,992.95,980.416625207886170772,70351,3039,68973290.00,26531,37.71,36.35,0.90
9-October-2024,1016.00,1016.00,980.00,982.50,993.335820330826157361,132154,6913,131273302.00,45383,34.34,36.00,-33.50
8-October-2024,934.95,1009.95,915.95,1007.45,977.764099620000546761,182895,6859,178828165.00,38388,20.99,94.00,72.50
7-October-2024,977.95,982.40,921.00,932.90,940.511722149778444192,327457,14061,307977147.00,137887,42.11,61.40,-45.05
4-October-2024,1015.00,1021.05,956.00,963.45,980.838254945702270632,366682,30504,359655733.00,176518,48.14,65.05,-51.55
3-October-2024,1020.75,1039.00,1010.30,1016.20,1023.801896587981704431,152168,6021,155789887.00,53817,35.37,28.70,-4.55
1-October-2024,1010.05,1053.00,1009.65,1040.75,1040.510409176086348162,282299,13458,293735048.00,78531,27.82,43.35,30.70
30-September-2024,1018.75,1018.75,994.00,1009.65,1008.132167710984029696,109641,5092,110532619.00,35099,32.01,24.75,-9.10
27-September-2024,1040.60,1055.85,1002.75,1013.50,1028.546569994422755158,69927,3990,71923176.00,22138,31.66,53.10,-27.10
26-September-2024,1040.15,1048.80,1033.15,1036.45,1039.939686913831831970,86366,4224,89815431.00,38229,44.26,15.65,-3.70
25-September-2024,1051.75,1053.35,1036.90,1045.45,1045.256773112373149613,42964,2269,44908412.00,14874,34.62,16.45,-6.30
24-September-2024,1031.95,1067.00,1021.40,1049.50,1049.501354167310772122,323446,13292,339457015.00,122964,38.02,45.60,17.55
23-September-2024,1026.65,1040.00,1017.90,1026.80,1028.080951939994443929,107990,4669,111022462.00,31281,28.97,22.10,0.15
20-September-2024,978.65,1019.60,976.30,1006.95,1003.477617215506881961,297081,13806,298114134.00,143598,48.34,43.30,28.30
19-September-2024,991.75,998.25,967.25,979.45,980.602207609206200093,42580,2789,41754042.00,12652,29.71,31.00,-12.30
18-September-2024,988.90,993.35,977.10,979.25,984.481498339937881546,37348,2220,36768415.00,15988,42.81,16.25,-9.65
17-September-2024,989.55,994.80,976.25,988.90,983.848716060950851125,44823,2639,44099051.00,17384,38.78,18.55,-0.65
16-September-2024,988.50,1009.80,976.50,979.95,991.954539312508445300,170213,8421,168843558.00,60660,35.64,33.30,-8.55
13-September-2024,995.00,1008.20,980.10,983.50,993.826269212855146716,51528,2704,51209880.00,23702,46.00,28.10,-11.50
12-September-2024,999.50,1012.00,990.10,1007.85,999.760383749314057562,105694,5694,105668674.00,35745,33.82,21.90,8.35
11-September-2024,1013.95,1013.95,991.50,999.15,1003.222330040334366048,85535,4189,85810622.00,35070,41.00,22.45,-14.80
10-September-2024,1005.00,1019.80,1001.80,1014.00,1011.770899420039091287,31209,1607,31576358.00,11071,35.47,18.00,9.00
9-September-2024,987.00,1009.15,968.40,1006.15,988.862413564664672032,230953,11748,228380741.00,77188,33.42,40.75,19.15
6-September-2024,1009.20,1013.90,982.75,985.50,991.248750740082889283,168900,11253,167421914.00,99797,59.09,31.15,-23.70
5-September-2024,1037.80,1037.80,1002.95,1007.95,1016.652395428700106963,35526,2229,36117593.00,19638,55.28,34.85,-29.85
4-September-2024,1012.75,1038.00,1010.90,1028.55,1023.641171663517033556,117474,5308,120251223.00,35103,29.88,27.10,15.80
3-September-2024,1042.05,1046.85,1020.50,1029.20,1029.452658179259164480,62524,2783,64365498.00,25407,40.64,26.35,-12.85
2-September-2024,1012.25,1049.95,1003.40,1034.05,1023.821506340954746898,260844,9239,267057697.00,74657,28.62,46.55,21.80
30-August-2024,1010.05,1023.15,1000.45,1007.85,1011.248609957180290151,62588,2172,63292028.00,20870,33.34,22.70,-2.20
29-August-2024,1030.70,1030.70,984.30,1003.75,996.572946320025975398,132433,5946,131979145.00,50697,38.28,46.40,-26.95
28-August-2024,1046.55,1051.00,1022.00,1026.80,1031.580776045357902197,56440,2749,58222419.00,20071,35.56,29.00,-19.75
27-August-2024,1060.50,1061.65,1043.70,1045.45,1049.483803440594723705,37261,1735,39104816.00,14160,38.00,17.95,-15.05
26-August-2024,1065.00,1076.10,1041.75,1051.85,1061.098049300872480664,52494,2248,55701281.00,24100,45.91,34.35,-13.15
23-August-2024,1084.75,1084.95,1060.00,1064.60,1066.643284066605560647,104736,2834,111715951.00,59820,57.12,24.95,-20.15
22-August-2024,1080.30,1099.00,1073.75,1076.45,1084.300009065361254645,165465,5255,179413701.00,57793,34.93,25.25,-3.85
21-August-2024,1098.00,1115.50,1075.30,1088.60,1096.071098683150067629,142689,5421,156397289.00,54184,37.97,40.20,-9.40
20-August-2024,1093.95,1109.95,1091.00,1099.90,1099.368424363140790439,47695,1854,52434377.00,8561,17.95,18.95,5.95
19-August-2024,1092.95,1111.30,1088.90,1092.05,1100.594866014892862570,78964,2677,86907373.00,25252,31.98,22.40,-0.90
16-August-2024,1123.95,1137.55,1073.00,1083.95,1096.809877301738683882,218096,8951,239209847.00,55795,25.58,64.55,-40.00
14-August-2024,1080.00,1121.15,1070.55,1114.30,1101.561848627150923010,237863,8034,262020806.00,36799,15.47,50.60,34.30
13-August-2024,1088.05,1130.00,1067.00,1070.60,1101.433296412071022632,538082,19958,592661431.00,113513,21.10,63.00,-17.45
12-August-2024,915.70,1082.70,915.70,1063.20,1060.105164945817217018,750792,30529,795918477.00,261385,34.81,167.00,147.50
9-August-2024,1114.75,1132.05,1100.30,1104.10,1114.205189836779381598,158926,7200,177076174.00,48112,30.27,31.75,-10.65
8-August-2024,1130.80,1134.20,1096.15,1101.70,1115.097332355502589723,87268,4573,97312314.00,20311,23.27,38.05,-29.10
7-August-2024,1161.85,1170.75,1125.10,1130.80,1143.921083097102020638,159801,7680,182799733.00,46523,29.11,45.65,-31.05
6-August-2024,1172.30,1181.80,1093.80,1124.00,1130.519979075658015491,653784,27043,739115874.00,171592,26.25,88.00,-48.30
5-August-2024,1189.00,1231.15,1152.00,1159.10,1190.551197690600780633,338443,15337,402933719.00,65182,19.26,79.15,-29.90
